nama_pengurus,nama_bank_sampah,alamat_bank_sampah,kecamatan,kelurahan,email,status
"Sri Yuniati, M.Pd",SDN Sukabumi Utara 07 Pagi,"Jalan Salam Raya, Jl. Salam Raya, Sukabumi Utara, Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11540, Indonesia",Kb. Jeruk,Sukabumi Utara,sukabumiutara.07@gmail.com,Aktif
"Sri Yuniati, M.Pd",SDN Sukabumi Utara 08 Pagi,"Jalan Sulaiman, Jl. Sulaiman, Sukabumi Utara, Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11540, Indonesia",Kb. Jeruk,Sukabumi Utara,s.sdn45@yahoo.com,Aktif
"Aries Budiyanyo, S.Pd",SDN Kelapa Dua 01,"6°12'26.1'S 106°46'09.2'E, Jl. Raya Klp. Dua No.60, Klp. Dua, Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11550, Indonesia",Kb. Jeruk,Kelapa Dua,bssdnkelapadua01@gmail.com,Aktif
"Hj. Humairoh, S.Ag",Bank Sampah SDN Duri Kepa 01 Ceria,"6°11'10.1'S 106°46'32.5'E, Jl. Kebon Raya No.15, Duri Kepa, Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11510, Indonesia",Kb. Jeruk,Duri Kepa,bssdndurikepa01@gmail.com,Aktif
"Adang S., M.Pd",SDN Kedoya Selatan 04 Pagi Jeruk Limo,"Elementary School South Kedoya 04 Morning, Jl. Pilar Baru No.1, Kedoya Sel., Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11520, Indonesia",Kb. Jeruk,Kedoya Selatan,bssdnkedoyaselatan04@gmail.com,Aktif
Ahmad,SMPN 271 Jakarta,"Jalan Pahlawan VI, Jl. Pahlawan VI, Sukabumi Sel., Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11560, Indonesia",Kb. Jeruk,Sukabumi Selatan,bssmpn271@gmail.com,Aktif
Ibu Nursiti,SDN Tomang 08,"Sekolah Dasar Negeri Tomang 08 Pagi, Jl. Pulo Macan V No.17, RT.14/RW.5, Tomang, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440, Indonesia",Grogol petamburan,Tomang,banksampahsdntomang08@gmail.com,Pending
"Kosar, S.Pd",SDN Sukabumi Selatan 03,"Sekolah Dasar Negeri Sukabumi Selatan 03 Pagi, Jl. Raya Sukabumi Selatan, RT.7/RW.5, Sukabumi Sel., Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11560, Indonesia",Kb. Jeruk,Sukabumi Selatan,bssdnsukabumiselatan03@gmail.com,Aktif
Nurdin,rusunawa pesakih,"0°00'00.0'S 0°00'00.0'W,",,Duri Kosambi,rusunawapesakih@gmail.com,Aktif
Dewi,Rusun KLH A,"Rusun Kebersihan Cengkareng Barat, Bina Serasih, RT.5/RW.17, Pegadungan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11830, Indonesia",Kalideres,Cengkareng Barat,rusunbmb22@gmail.com,Aktif
Eddi,rusun bci,"Rusun Flamboyan, Jl. Rusun Flamboyan, RT.14/RW.10, Cengkareng Bar., Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730, Indonesia",Cengkareng,Cengkareng Barat,rusunbci22@gmail.com,Aktif
Bu Uus,Bs Anggrek,"Asrama Dinas Kebersihan Menceng, Jl. Menceng, RT.3/RW.4, Tegal Alur, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11820, Indonesia",Kalideres,Tegal alur,bsanggrek@gmail.com,Aktif
Nurdin,SAKURA,"Rusunawa Pesakih, Jalan Desa Semanan No.9, Kalideres, RT.3/RW.14, Duri Kosambi, Cengkareng, RT.3/RW.14, Duri Kosambi, Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11850, Indonesia",Cengkareng,Duri Kosambi,sakurapersakirusun@gmail.com,Aktif
Nur,Budha Tzu Chi,"Rusun Cinta Kasih Tzu Chi, Jl. Kamal Raya, RT.7/RW.14, Cengkareng Tim., Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 14450, Indonesia",Cengkareng,Cengkareng Timur,zhuchi22@gmail.com,Aktif
Ilan sukarlan,RW.011,"Central Rusun Tambora, Jl. Angke Jaya, RW.11, Angke, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11330, Indonesia",Tambora,Angke,angke011@gmail.com,Aktif
Rojito,Sri Gading,"Kantor Kelurahan Jati Pulo Jakarta Barat, Jl. Turi No. 30, RT.14/RW.3, Jatipulo, Jakarta Barat, Kota Jakarta Barat, DKI Jakarta 11430, Indonesia",Jakarta Barat,Jati Pulo,Gading09@gmail.com,Aktif
Apriyanti,Kantor Kelurahan Kemanggisan,"Kelurahan Kemanggisan, JL. Kemanggisan Hilir I, No. 2, West Jakarta, DKI Jakarta, RT.6/RW.7, Kemanggisan, Palmerah, West Jakarta City, Jakarta 11530, Indonesia",Palmerah,Kemanggisan,KelurahanKemanggisan@yahoo.com,Aktif
Frisca Puspita,Kel. Kembangan Utara,"Kembangan Utara, Kembangan Utara, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Kembangan,Kembangan Utara,kelkembanganutara@gmail.com,Aktif
Syakira,Kantor Kelurahan Palmerah,"Kantor Lurah Palmerah, Jl. Komplek Sandang No. 2, RT/RW 05/10, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480, Indonesia",Palmerah,Palmerah,KelurahanPalmerah@gmail.com,Aktif
suroso,kelurahan tanjung duren utara,"Tanjung Duren Utara, Tj. Duren Utara, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Grogol petamburan,Tanjung Duren Utara,banksampahtdu@gmail.com,Aktif
Pak munir,Bs Untuk kita,"Kantor Kelurahan Kamal, Jl. Benda Raya No.7, RT.7/RW.2, Kamal, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11810, Indonesia",Kalideres,Kamal,banksampahuntukkita@gmail.com,Aktif
"Hj. Maemunah, Sd. MM.",SDN 11 Duri Kepa,"Jalan Duri Raya, Jl. Duri Raya, Duri Kepa, Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11510, Indonesia",Kb. Jeruk,Duri Kepa,sdndurikepa11@yahoo.co.id,Aktif
Risnahadi,Kantor Kecamatan Kebon Jeruk,"Jalan Kebon Jeruk Raya, Jl. Kb. Jeruk Raya, Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Kb. Jeruk,Kebon Jeruk,kecamatankebonjeruk@yahoo.com,Aktif
Yani,Bs satu tujuan,"Kantor Kelurahan Kalideres Kecamatan Kalideres, Perumahan Citra I Blok G VI No. 13, RT.1/RW.9, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11840, Indonesia",Kalideres,Kalideres,bssatutujuan@gmail.com,Aktif
Slamet Sukari,Kelurahan Wijaya Kusuma,"Kantor Kelurahan Wijaya Kusuma, Jl. Perdana 1 No.2, RT.8/RW.4, Wijaya Kusuma, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 12270, Indonesia",Grogol petamburan,Wijaya Kusuma,banksampahkelwijayakusuma@yahoo.com,Aktif
Abdin Taras,Kelurahan Grogol,"Grogol, Grogol, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Grogol petamburan,Grogol,sampah.grogol14243@gmail.com,Aktif
Sahadin,Kelurahan Jelambar,"Kantor Kelurahan Jelambar, Jalan Hadiah Utama 1 Blok F7 No.153 Grogol petamburan Kota Jakarta Barat Daerah Khusus Ibukota Jakarta 11460, RT.7/RW.2, Jelambar, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460, Indonesia",Grogol petamburan,Jelambar,banksampahjelambar@gmail.com,Aktif
Pak Madul,Mandala,"Kantor Kelurahan Tomang, Jl. Mandala Selatan VIII No.28, RT.12/RW.4, Tomang, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440, Indonesia",Grogol petamburan,Tomang,tutikaryani88@gmail.com,Aktif
Santi,Kelurahan Tegal Alur,"Jalan Kelurahan, Jl. Kelurahan, Tegal Alur, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11820, Indonesia",Kalideres,Tegal alur,kakangrohmat@gmail.com,Aktif
Ilham Dwi Baskoro,Kel. Kapuk,"6°07'52.9'S 106°44'46.1'E, Jl. Kapuk Kamal Blok Kelurahan No.1, Kapuk, Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720, Indonesia",Cengkareng,Kapuk,kapukcengkareng@gmail.com,Aktif
Lukman Kamaludin,Pinangsia Menata,"Kantor Kelurahan Pinangsia Jakarta Barat, JL. Mangga Dua III, No. 111, Pinangsia, Taman Sari, West Jakarta, DKI Jakarta, RT.4/RW.3, Pinangsia, Tamansari, West Jakarta City, Jakarta 11110, Indonesia",Tamansari,Pinangsia,pinangsiamenata@gmail.com,Aktif
Lia Novitasari,Palem raja,"Kantor Kelurahan Pegadungan, Komplek Citra 3, Jl. Palem Raja Timur Blok D 11 , RT.15 RW.13, Kelurahan Pegadungan, Kecamatan Kalideres, RT.15/RW.13, Pegadungan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11830, Indonesia",Kalideres,Pegadungan,Lianovitasari29@gmail.com,Aktif
Juharnah,Bale Desa,"Kantor Kelurahan Srengseng, Jl. Srengseng Raya, RT.2, Srengseng, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11630, Indonesia",Kembangan,Srengseng,kelurahan.srengseng@yahoo.co.id,Pending
Ahmad Hambali,Bank Sampah Kembangan Utara,"Kantor Kelurahan Kembangan Utara Jakarta Barat, Jl. K.H. Saanan, RT. 04 / RW. 02, Kembangan Utara, Kembangan, RT.4/RW.2, Kembangan Utara, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610, Indonesia",Kembangan,Kembangan Utara,kembangan_utara@yahoo.co.id,Aktif
Joko Santoso,Flamboyan Kelurahan Kedoya Utara,"Kedoya Utara, Kedoya Utara, Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Kb. Jeruk,Kedoya Utara,bsflamboyan@gmail.com,Aktif
Abdul Kholik,Sukasela Kelurahan Sukabumi Selatan,"Jalan Panjang, Jl. Panjang, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Jl. Panjang,Sukabumi Selatan,bssukaselakelurahan@gmail.com,Aktif
Ismail,Kadasi Kelurahan Kelapa Dua,"Jalan Raya Kelapa Dua, Jl. Raya Klp. Dua, Klp. Dua, Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Kb. Jeruk,Kelapa Dua,kelapaduab@gmail.com,Aktif
Hamdani,Mawar Kelurahan Kedoya Selatan,"Jalan Kedoya Raya, Jl. Kedoya Raya, Kedoya Sel., Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11520, Indonesia",Kb. Jeruk,Kedoya Selatan,kelurahankedoyaselatan@gmail.com,Aktif
Bambang Susilo,Kelurahan Duri Utara,"Jalan Duri Utara 1, Jl. Duri Utara 1, Duri Utara, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11270, Indonesia",Tambora,Duri Utara,duriutarabanksampah@gmail.com,Aktif
Lyna,Bs kecapi,"Kelurahan Semanan Kalideres, Jalan Raya Kramat Semanan No.35, RT.5/RW.2, Semanan, Kalideres, RT.6/RW.7, Semanan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11850, Indonesia",Kalideres,Semanan,bskecapi@gmail.com,Aktif
Pak Umi,Wijaya Kusuma,"Walikota Jakarta Barat, Jl. Raya Kembangan Sel., RT.2/RW.2, Kembangan Sel., Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610, Indonesia",Kembangan,Kembangan Selatan,wijayakusumajb2@gmail.com,Aktif
Supryadi,Bank sampah mandiri,"Kantor Kecamatan Kalideres, no., No., Jl. Peta Utara No.26, RT.1/RW.6, Pegadungan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11830, Indonesia",Kalideres,Kalideres,huseinalkaylani@gmail.com,Aktif
Messi,Kembang Goyang,"Kantor kecamatan kembangan, Jakarta Barat, Intan 10, RT.8/RW.11, Meruya Utara, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11620, Indonesia",Kembangan,Meruya Utara,bs.kembanggoyang@gmail.com,Aktif
Lasmaa,Palem Merah,"Kecamatan Palmerah, Jl. Palmerah Tengah (h Tafsir) No.2, RT.2/RW.12, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480, Indonesia",Palmerah,Palmerah,PalemMerah29@yahoo.com,Aktif
Usman,Bank Sampah Barokah,"Suku Dinas Kebersihan Jakarta Barat, Jl. Raya Perdana No.2, Kel. Wijaya Kusuma, RT.1/RW.1, Wijaya Kusuma, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460, Indonesia",Grogol petamburan,Wijaya Kusuma,moyoppsm@gmail.com,Aktif
Yana,Puskes kec.palmerah,"Jalan Palmerah Utara, Jl. Palmerah Utara, Gelora, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480, Indonesia",Palmerah,Palmerah,PkcPalmerah@gmail.com,Aktif
Rina,insap puskesmas,"Jalan Krendang Utara, Jl. Krendang Utara, Krendang, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11260, Indonesia",Tambora,Krendang,insapbanksampah@gmail.com,Aktif
Daryono,Hebat,"Puskesmas Kecamatan Cengkareng, Jalan Raya Cendrawasih No.1 RT.9/RW.7, Cengkareng Barat, Cengkareng Bar., Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730, Indonesia",Cengkareng,Cengkareng Barat,hebatpuskes22@gmail.com,Aktif
Jamaluddin Isa Harahap,BANK SAMPAH HARUM,"Puskesmas Kecamatan Kembangan, RW., RT.5/RW.002, Kembangan Utara, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610, Indonesia",Kembangan,Kembangan Utara,jamaldisa5@gmail.com,Pending
Dwi Estu Saputro,Puskesmas Grogol Petamburan,"Puskesmas Kecamatan Grogol Petamburan, Jl. Wijaya 1 (Taman Duta Mas), RT.14/RW.9, Wijaya Kusuma, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460, Indonesia",Grogol petamburan,Wijaya Kusuma,banksampahgp@gmail.com,Aktif
Adi,Sejahtera Puskesmas Kelurahan Sukabumi Utara,"Gang Jairin, Gang Jairin, Sukabumi Utara, Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11540, Indonesia",Kb. Jeruk,Sukabumi Utara,bssejahterasukatara@gmail.com,Aktif
Adi Nanung,Prima Puskesmas Kebon Jeruk,"Jalan Raya Kebon Jeruk, Jl. Raya Kb. Jeruk, Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530, Indonesia",Kb. Jeruk,Kebon Jeruk,bsprimapuskesmaskj@gmail.com,Aktif
Achmad,FaveHotel,"favehotel Puri Indah, Jl. Kembang Abadi Raya Blok A1 No. 1, Kembangan Selatan, Kembangan, RT.1/RW.8, Kembangan Sel., Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610, Indonesia",Kembangan,Kembangan Selatan,bs.favehotel@gmail.com,Aktif
Rachmat Gunawan,Pt.mulia knitting factory,"PT MULIA KNITTING FACTORY (RIDER), Jl. Semanan Raya No.50, Daan Mogot KM.16, Daan Mogot, Kalideres, RT.4/RW.10, Semanan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11850, Indonesia",Kalideres,Semanan,pt.mutiakinittingfactory@gmail.com,Aktif
Sanwani,Pasar Slipi,"Kemanggisan, Kemanggisan, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Palmerah,Kemanggisan,PasarSlipi29@yahoo.com,Aktif
Sahala,pasar HWI lindeteves,"Jalan Hayam Wuruk, Jl. Hayam Wuruk, Mangga Besar, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tamansari,Mangga Besar,pasarhwi@gmail.com,Aktif
Harnoto,Tobar,"Pasar Kopro, Tanjung Duren Utara, Jl. Tanjung Duren Raya No.1, RT.14/RW.5, Tj. Duren Sel., Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470, Indonesia",Grogol petamburan,Tanjung Duren Selatan,banksampahtobar2017@gmail.com,Aktif
H.Dudung,pasar mitra,"Jalan K.H. Muhammad Mansyur, Jl. K.H. Moh. Mansyur, Tanah Sereal, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tambora,Jembatan Lima,pasarmitrabanksampah@gmail.com,Aktif
Hitler Pasaribu,mutiara,"Pasar Jembatan Dua, Jl. Pangeran Tubagus Angke, Angke, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11330, Indonesia",Tambora,Angke,mutiara.pasaribu.jb@gmail.com,Aktif
Marsono,Pasar Pos Pengumben,"Jalan Panjang, Jl. Panjang, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Jl. Panjang,Sukabumi Selatan,bspasarpospengumben@gmail.com,Aktif
Atik,Darmais,"Jalan Letjen S. Parman, Jl. Letjen S. Parman, Slipi, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Palmerah,Kota Bambu Selatan,Darmais@yahoo.com,Aktif
Jaelani,Cakra Pedati,"RS PELNI, Jl. Aipda Ks. Tubun Raya No.92 - 94, RT.13/RW.1, Slipi, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410, Indonesia",Palmerah,Slipi,CakraPedati@yahoo.com,Aktif
Ibu Dr. Mintarsih,bs.satumaret12@gmail.com,"RSUD KALIDERES, Jl. Satu Maret, RT.1/RW.4, Pegadungan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11830, Indonesia",Kalideres,Pegadungan,bs.satumaret12@gmail.com,Aktif
Suadih,Mega Kebon Jeruk RW09,"Ruko Maysonnette Mega, Jl. Joglo Raya No.29, RT.8/RW.8, Joglo, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11640, Indonesia",Kembangan,Joglo,kdani2350@gmail.com,Pending
Dadi,Tampak siring,"Jalan Tampak Siring, Jl. Tampak Siring, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11840, Indonesia",Kalideres,Kalideres,bstampaksiring123@gmail.com,Aktif
Richardo,LOKBIN MERUYA ILIR,"Lokbin Meruya Ilir, Jl. Meruya Utara No.10B, RT.18/RW.4, Meruya Utara, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11620, Indonesia",Kembangan,Meruya Utara,bs.lokbinilir@gmail.com,Aktif
